,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
45,0.048,0.045,0.10300000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
46,0.048,0.046,0.10400000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
47,0.048,0.047,0.10500000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
48,0.048,0.048,0.10600000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
49,0.048,0.049,0.10700000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
50,0.048,0.05,0.10800000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
51,0.048,0.051000000000000004,0.10900000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
52,0.048,0.052000000000000005,0.11000000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
53,0.048,0.053,0.111,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
54,0.048,0.054,0.112,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
55,0.048,0.055,0.113,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
56,0.048,0.056,0.114,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
57,0.048,0.057,0.115,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
58,0.048,0.058,0.116,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
59,0.048,0.059000000000000004,0.117,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
60,0.048,0.06,0.118,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
61,0.048,0.061,0.119,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
62,0.048,0.062,0.12,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
63,0.048,0.063,0.121,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
64,0.048,0.064,0.122,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
65,0.048,0.065,0.123,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
66,0.048,0.066,0.124,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
67,0.048,0.067,0.125,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
68,0.048,0.068,0.126,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
69,0.048,0.069,0.127,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
70,0.048,0.07,0.128,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
71,0.048,0.07100000000000001,0.129,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
72,0.048,0.07200000000000001,0.13,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
73,0.048,0.073,0.131,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
74,0.048,0.074,0.132,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
75,0.048,0.075,0.133,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
76,0.048,0.076,0.134,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
77,0.048,0.077,0.135,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
78,0.048,0.078,0.136,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
79,0.048,0.079,0.137,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
80,0.048,0.08,0.138,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
81,0.048,0.081,0.139,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
82,0.048,0.082,0.14,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
83,0.048,0.083,0.14100000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
84,0.048,0.084,0.14200000000000002,1970.4628,2814.9468571428574,123502.71,0.0,510179830.13,24402475.499999993,485777354.735,17081732.672000006,347918266.26000005,1285999.4,0.0,0.0,0.9895997443367232,0.4836576665746571,1285999.4,0.07528506766225077,0.0,0.07528506766225077,0.15928506766225076
85,0.048,0.085,0.14300000000000002,9660.1619,13800.231285714286,123502.71,0.0,510179830.13,110989699.20999998,399190130.485,77692787.97199997,287307212.0,5889725.2,0.0,0.0,0.9181046668411477,0.4836576665746571,5889725.2,0.0758078755279399,0.0,0.0758078755279399,0.1608078755279399
86,0.048,0.08600000000000001,0.14400000000000002,18284.516,26120.737142857142,123502.71,0.0,510179830.13,197403171.17000002,312776659.275,138182219.822,226817780.13000005,10539508.0,0.0,0.0,0.8627095191952374,0.4836576665746571,10539508.0,0.07627253356891003,0.0,0.07627253356891003,0.16227253356891003
87,0.048,0.08700000000000001,0.14500000000000002,25130.133,35900.19,123502.71,0.0,510179831.33000004,258151940.77999997,252027891.635,180706357.02400005,184293642.95,13853862.0,0.0,0.0,0.8208702902189088,0.4836576665746571,13853862.0,0.07666505057240479,0.0,0.07666505057240479,0.1636650505724048
88,0.048,0.088,0.146,29582.564,42260.805714285714,123502.71,0.0,510179830.13,293875867.73,216303951.685,205713114.192,159286885.77,15827742.0,0.0,0.0,0.7938200425662438,0.4836576665746571,15827742.0,0.07694085067045048,0.0,0.07694085067045048,0.16494085067045047
89,0.048,0.089,0.147,34920.909,49887.01285714286,123502.71,0.0,510179830.13,332795718.43,177384111.63,232957002.87200004,132042997.10000001,18006585.0,0.0,0.0,0.7615284346703729,0.4836576665746571,18006585.0,0.07729574461384126,0.0,0.07729574461384126,0.16629574461384125
90,0.048,0.09,0.148,38923.601,55605.14428571429,123502.71,0.0,510179830.13,359778296.63000005,150401525.23000002,251844813.342,113155185.66499999,19534705.0,0.0,0.0,0.7386112070091722,0.4836576665746571,19534705.0,0.07756643760406642,0.0,0.07756643760406642,0.16756643760406642
91,0.048,0.091,0.149,41264.348,58949.06857142857,123502.71,0.0,510179830.13,374407385.13,135772453.44,262085162.83199996,102914836.228,20373132.0,0.0,0.0,0.7250422951929749,0.4836576665746571,20373132.0,0.07773477819139059,0.0,0.07773477819139059,0.1687347781913906
92,0.048,0.092,0.15,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.16976567758331046
93,0.048,0.093,0.151,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17076567758331046
94,0.048,0.094,0.152,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17176567758331046
95,0.048,0.095,0.153,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17276567758331046
96,0.048,0.096,0.154,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17376567758331046
97,0.048,0.097,0.155,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17476567758331046
98,0.048,0.098,0.156,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17576567758331046
99,0.048,0.099,0.157,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17676567758331047
100,0.048,0.1,0.158,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17776567758331047
101,0.048,0.101,0.159,41666.667,59523.810000000005,123502.71,0.0,510179830.13,376787188.63,133392636.1308,263751035.642,101248964.28299999,20510778.0,0.0,0.0,0.7226055713205253,0.4836576665746571,20510778.0,0.07776567758331047,0.0,0.07776567758331047,0.17876567758331047
